SCHOOL,COUNTY,GRAD
Copperas Cove HS,Coryell County,95.1
Crossroads HS,Coryell County,52.3
Crossroads HS,Coryell County,52.4
Paducah School,Cottle County,100.0
Paducah School,Cottle County,100.0
Crane HS,Crane County,97.5
Crane HS,Crane County,97.5
Ozona HS,Crockett County,94.3
Ozona HS,Crockett County,96.2
Crosbyton CISD PK-12,Crosby County,100.0
Crosbyton CISD PK-12,Crosby County,100.0
Lorenzo ISD,Crosby County,94.7
Lorenzo ISD,Crosby County,94.7
Ralls HS,Crosby County,100.0
Ralls HS,Crosby County,100.0
Van Horn School,Culberson County,100.0
Van Horn School,Culberson County,100.0
Dalhart HS,Dallam County,98.1
Dalhart HS,Dallam County,99.1
Texline School,Dallam County,100.0
Texline School,Dallam County,100.0
Pegasus Charter HS,Dallas County,96.2
Pegasus Charter HS,Dallas County,96.2
Uplift Education-North Hills,Dallas County,100.0
Uplift Education-North Hills,Dallas County,100.0
Uplift Williams Preparatory HS,Dallas County,92.0
Uplift Williams Preparatory HS,Dallas County,92.0
Uplift Luna Preparatory HS,Dallas County,97.5
Uplift Luna Preparatory HS,Dallas County,97.5
Uplift Heights Preparatory HS,Dallas County,96.0
Uplift Heights Preparatory HS,Dallas County,96.0
Uplift Hampton Preparatory HS,Dallas County,98.2
Uplift Hampton Preparatory HS,Dallas County,98.2
Uplift Summit International HS,Dallas County,95.9
Uplift Summit International HS,Dallas County,95.9
Uplift Atlas Preparatory-HS,Dallas County,96.3
Uplift Atlas Preparatory-HS,Dallas County,97.2
Uplift Infinity HS,Dallas County,98.7
Uplift Infinity HS,Dallas County,98.7
Uplift Mighty HS,Dallas County,92.8
Uplift Mighty HS,Dallas County,92.8
Uplift Grand HS,Dallas County,98.5
Uplift Grand HS,Dallas County,98.5
Texans Can Academy-Dallas North,Dallas County,13.1
Texans Can Academy-Dallas North,Dallas County,15.9
Texans Can Academy-Oak Cliff,Dallas County,17.3
Texans Can Academy-Oak Cliff,Dallas County,20.0
Texans Can Academy-Carrollton,Dallas County,18.6
Texans Can Academy-Carrollton,Dallas County,20.2
Texans Can Academy-Pleasant Grove,Dallas County,17.8
Texans Can Academy-Pleasant Grove,Dallas County,20.3
Texans Can Academy-Grant East,Dallas County,12.6
Texans Can Academy-Grant East,Dallas County,14.5
Texans Can Academy-Austin,Dallas County,9.6
Texans Can Academy-Austin,Dallas County,10.9
Texans Can Academy-Fort Worth,Dallas County,17.8
Texans Can Academy-Fort Worth,Dallas County,19.6
Texans Can Academy-Fort Worth,Dallas County,10.3
Texans Can Academy-Fort Worth,Dallas County,12.2
Texans Can Academy-Houston North,Dallas County,13.0
Texans Can Academy-Houston North,Dallas County,15.7
Texans Can Academy-Houston Hobby,Dallas County,14.1
Texans Can Academy-Houston Hobby,Dallas County,15.9
Texans Can Academy-San Antonio,Dallas County,10.1
Texans Can Academy-San Antonio,Dallas County,11.3
Texans Can Academy-Houston,Dallas County,10.3
Texans Can Academy-Houston,Dallas County,11.7
Texans Can Academy-Garland,Dallas County,9.6
Texans Can Academy-Garland,Dallas County,10.8
Advantage Academy,Dallas County,88.9
Advantage Academy,Dallas County,88.9
Life School Oak Cliff,Dallas County,99.0
Life School Oak Cliff,Dallas County,99.0
Life HS Waxahachie,Dallas County,97.7
Life HS Waxahachie,Dallas County,99.5
Universal Academy,Dallas County,100.0
Universal Academy,Dallas County,100.0
Universal Academy-Coppell,Dallas County,91.7
Universal Academy-Coppell,Dallas County,91.7
Dallas County Juvenile Justice,Dallas County,-1
Dallas County Juvenile Justice,Dallas County,-1
Jean Massieu Academy,Dallas County,100.0
Jean Massieu Academy,Dallas County,100.0
Winfree Academy Charter School,Dallas County,54.2
Winfree Academy Charter School,Dallas County,59.3
Winfree Academy Charter School,Dallas County,48.8
Winfree Academy Charter School,Dallas County,51.4
Winfree Academy Charter School,Dallas County,56.9
Winfree Academy Charter School,Dallas County,59.7
Winfree Academy Charter School,Dallas County,56.0
Winfree Academy Charter School,Dallas County,60.3
Winfree Academy North Richland,Dallas County,27.6
Winfree Academy North Richland,Dallas County,28.1
Winfree Academy Charter School,Dallas County,43.0
Winfree Academy Charter School,Dallas County,45.5
A+ Secondary School,Dallas County,99.0
A+ Secondary School,Dallas County,99.0
Inspired Vision Academy Secondary,Dallas County,92.9
Inspired Vision Academy Secondary,Dallas County,94.0
Gateway Charter Academy-Middle-HS,Dallas County,100.0
Gateway Charter Academy-Middle-HS,Dallas County,100.0
Evolution Academy Charter School,Dallas County,47.3
Evolution Academy Charter School,Dallas County,64.0
Evolution Academy Beaumont,Dallas County,74.0
Evolution Academy Beaumont,Dallas County,75.7
Evolution Academy Houston,Dallas County,67.0
Evolution Academy Houston,Dallas County,88.5
Richland Collegiate HS of Math,Dallas County,99.2
Richland Collegiate HS of Math,Dallas County,99.2
Manara Leadership Academy,Dallas County,100.0
Manara Leadership Academy,Dallas County,100.0
Legacy Prep Charter Academy,Dallas County,96.7
Legacy Prep Charter Academy,Dallas County,96.7
Legacy Preparatory Charter,Dallas County,100.0
Legacy Preparatory Charter,Dallas County,100.0
Village Tech Schools,Dallas County,98.4
Village Tech Schools,Dallas County,98.4
ILTexas Garland HS,Dallas County,100.0
ILTexas Garland HS,Dallas County,100.0
ILTexas Arlington-Grand Prairie HS,Dallas County,99.3
ILTexas Arlington-Grand Prairie HS,Dallas County,99.3
ILTexas Keller Saginaw HS,Dallas County,99.2
ILTexas Keller Saginaw HS,Dallas County,99.2
ILTexas Katy Westpark HS,Dallas County,97.3
ILTexas Katy Westpark HS,Dallas County,97.3
Pioneer Technology Mesquite,Dallas County,100.0
Pioneer Technology Mesquite,Dallas County,100.0
Pioneer Technology Greenville,Dallas County,100.0
Pioneer Technology Greenville,Dallas County,100.0
Turner HS,Dallas County,93.6
Turner HS,Dallas County,94.3
Smith HS,Dallas County,90.3
Smith HS,Dallas County,90.9
Grimes Education Center,Dallas County,80.8
Grimes Education Center,Dallas County,89.2
Creekview HS,Dallas County,97.9
Creekview HS,Dallas County,98.2
Ranchview HS,Dallas County,93.0
Ranchview HS,Dallas County,93.8
ECHS,Dallas County,100.0
ECHS,Dallas County,100.0
Huie Special Educ Ctr,Dallas County,0.0
Cedar Hill HS,Dallas County,87.0
Cedar Hill HS,Dallas County,88.2
Cedar Hill Collegiate HS,Dallas County,100.0
Cedar Hill Collegiate HS,Dallas County,100.0
Bryan Adams HS Leadership Academy,Dallas County,85.6
Bryan Adams HS Leadership Academy,Dallas County,86.5
WH Adamson HS,Dallas County,89.3
WH Adamson HS,Dallas County,89.4
New Tech HS at BF Darrell HS,Dallas County,99.1
New Tech HS at BF Darrell HS,Dallas County,99.1
Moises E Molina HS,Dallas County,84.9
Moises E Molina HS,Dallas County,86.1
Hillcrest HS,Dallas County,85.8
Hillcrest HS,Dallas County,86.9
Thomas Jefferson HS,Dallas County,60.0
Thomas Jefferson HS,Dallas County,62.0
Justin F Kimball HS,Dallas County,67.6
Justin F Kimball HS,Dallas County,68.5
Lincoln Humanities,Dallas County,73.7
Lincoln Humanities,Dallas County,75.7
LG Pinkston HS,Dallas County,70.9
LG Pinkston HS,Dallas County,75.7
Franklin D Roosevelt HS,Dallas County,62.2
Franklin D Roosevelt HS,Dallas County,63.9
WW Samuell HS,Dallas County,70.9
WW Samuell HS,Dallas County,72.7
Seagoville HS,Dallas County,87.2
Seagoville HS,Dallas County,87.5
South Oak Cliff HS,Dallas County,78.3
South Oak Cliff HS,Dallas County,79.9
H Grady Spruce HS,Dallas County,70.9
H Grady Spruce HS,Dallas County,72.7
Sunset HS,Dallas County,85.2
Sunset HS,Dallas County,86.4
WT White HS,Dallas County,78.5
WT White HS,Dallas County,79.8
Woodrow Wilson HS,Dallas County,88.9
Woodrow Wilson HS,Dallas County,89.4
David W Carter HS,Dallas County,73.6
David W Carter HS,Dallas County,74.8
North Dallas HS,Dallas County,74.9
North Dallas HS,Dallas County,75.6
Skyline HS,Dallas County,78.4
Skyline HS,Dallas County,79.1
School of Science and Engineering,Dallas County,100.0
School of Science and Engineering,Dallas County,100.0
Emmett J Conrad HS,Dallas County,81.5
Emmett J Conrad HS,Dallas County,82.4
Barbara M Manns HS DAEP,Dallas County,-1
Barbara M Manns HS DAEP,Dallas County,-1
James Madison HS,Dallas County,80.0
James Madison HS,Dallas County,80.6
Marvin E Robinson School,Dallas County,99.0
Marvin E Robinson School,Dallas County,99.0
Booker T Washington SPVA Magnet,Dallas County,100.0
Booker T Washington SPVA Magnet,Dallas County,100.0
Irma Rangel Young Women's,Dallas County,100.0
Irma Rangel Young Women's,Dallas County,100.0
School of Health Professions,Dallas County,97.0
School of Health Professions,Dallas County,97.0
Rosie Sorrells Education,Dallas County,100.0
Rosie Sorrells Education,Dallas County,100.0
Judge Barefoot Sanders Law Magnet,Dallas County,100.0
Judge Barefoot Sanders Law Magnet,Dallas County,100.0
School for the Talented and Gifted,Dallas County,100.0
School for the Talented and Gifted,Dallas County,100.0
Kathlyn Joy Gilliam Collegiate,Dallas County,98.7
Kathlyn Joy Gilliam Collegiate,Dallas County,98.7
Trinidad Garza Early College,Dallas County,99.1
Trinidad Garza Early College,Dallas County,99.1
Dr Wright L Lassiter Jr ECHS,Dallas County,100.0
Dr Wright L Lassiter Jr ECHS,Dallas County,100.0
Hospital/Homebound,Dallas County,0.0
Hospital/Homebound,Dallas County,0.0
Wilmer-Hutchins HS,Dallas County,79.8
Wilmer-Hutchins HS,Dallas County,81.7
Barack Obama Male Leadership,Dallas County,97.4
Barack Obama Male Leadership,Dallas County,97.4
Innovation Design,Dallas County,96.0
Innovation Design,Dallas County,96.0
Citylab HS,Dallas County,90.9
Citylab HS,Dallas County,90.9
Desoto HS,Dallas County,88.0
Desoto HS,Dallas County,88.4
Duncanville HS,Dallas County,94.0
Duncanville HS,Dallas County,94.4
Mary E Smithey Pace HS,Dallas County,75.8
Mary E Smithey Pace HS,Dallas County,78.0
Garland HS,Dallas County,93.1
Garland HS,Dallas County,95.2
S Garland HS,Dallas County,93.2
S Garland HS,Dallas County,94.7
N Garland HS,Dallas County,94.4
N Garland HS,Dallas County,95.5
Lakeview Centennial HS,Dallas County,94.2
Lakeview Centennial HS,Dallas County,95.0
Naaman Forest HS,Dallas County,91.0
Naaman Forest HS,Dallas County,92.1
Rowlett HS,Dallas County,91.5
Rowlett HS,Dallas County,92.3
Sachse HS,Dallas County,96.6
Sachse HS,Dallas County,97.4
Grand Prairie Fine Arts Academy,Dallas County,100.0
Grand Prairie Fine Arts Academy,Dallas County,100.0
Grand Prairie HS,Dallas County,90.6
Grand Prairie HS,Dallas County,91.7
South Grand Prairie HS,Dallas County,93.5
South Grand Prairie HS,Dallas County,95.9
Crosswinds Accelerated HS,Dallas County,79.4
Crosswinds Accelerated HS,Dallas County,84.5
John A Dubiski Career HS,Dallas County,99.7
John A Dubiski Career HS,Dallas County,99.7
Grand Prairie Collegiate Institute,Dallas County,100.0
Grand Prairie Collegiate Institute,Dallas County,100.0
YWLA at Bill Arnold,Dallas County,100.0
YWLA at Bill Arnold,Dallas County,100.0
Highland Park HS,Dallas County,99.1
Highland Park HS,Dallas County,100.0
Irving HS,Dallas County,89.5
Irving HS,Dallas County,91.0
MacArthur HS,Dallas County,91.7
MacArthur HS,Dallas County,92.6
Nimitz HS,Dallas County,94.2
Nimitz HS,Dallas County,95.8
Barbara Cardwell Career,Dallas County,67.9
Barbara Cardwell Career,Dallas County,71.8
Jack E Singley Academy,Dallas County,99.7
Jack E Singley Academy,Dallas County,99.7
Dallas Co School for Accelerated,Dallas County,-1
Dallas Co School for Accelerated,Dallas County,-1
Lancaster HS,Dallas County,97.3
Lancaster HS,Dallas County,98.1
Mesquite HS,Dallas County,91.6
Mesquite HS,Dallas County,92.8
North Mesquite HS,Dallas County,94.3
North Mesquite HS,Dallas County,95.0
West Mesquite HS,Dallas County,93.4
West Mesquite HS,Dallas County,93.9
Poteet HS,Dallas County,90.8
Poteet HS,Dallas County,91.8
Horn HS,Dallas County,90.2
Horn HS,Dallas County,91.4
Lake Highlands HS,Dallas County,91.0
Lake Highlands HS,Dallas County,93.1
Richardson HS,Dallas County,90.5
Richardson HS,Dallas County,92.4
Pearce HS,Dallas County,90.6
Pearce HS,Dallas County,92.3
Berkner HS,Dallas County,88.4
Berkner HS,Dallas County,90.2
Sunnyvale HS,Dallas County,99.3
Sunnyvale HS,Dallas County,100.0
Coppell HS,Dallas County,98.6
Coppell HS,Dallas County,99.2
New Tech HS at Coppell,Dallas County,100.0
New Tech HS at Coppell,Dallas County,100.0
Dawson School,Dawson County,-1
Dawson School,Dawson County,-1
Klondike ISD,Dawson County,100.0
Klondike ISD,Dawson County,100.0
Lamesa Schools,Dawson County,97.5
Lamesa Schools,Dawson County,97.5
Sands CISD,Dawson County,90.9
Sands CISD,Dawson County,100.0
Hereford HS,Deaf Smith County,95.6
Hereford HS,Deaf Smith County,97.0
Cooper HS,Delta County,98.1
Cooper HS,Delta County,98.1
Fannindel HS,Delta County,84.6
Fannindel HS,Delta County,84.6
Leadership Prep School Secondary,Denton County,95.6
Leadership Prep School Secondary,Denton County,95.5
Ryan HS,Denton County,97.5
Ryan HS,Denton County,98.6
Denton HS,Denton County,97.5
Denton HS,Denton County,97.7
Guyer HS,Denton County,98.8
Guyer HS,Denton County,99.1
Ray Braswell HS,Denton County,96.2
Ray Braswell HS,Denton County,96.9
Fred Moore HS,Denton County,78.8
Fred Moore HS,Denton County,78.8
Joe Dale Sparks Campus,Denton County,0.0
Joe Dale Sparks Campus,Denton County,-1
Lewisville HS,Denton County,90.3
Lewisville HS,Denton County,91.2
Marcus HS,Denton County,97.6
Marcus HS,Denton County,99.3
The Colony HS,Denton County,93.3
The Colony HS,Denton County,94.5
Learning Ctr,Denton County,79.4
Learning Ctr,Denton County,82.5
Hebron HS,Denton County,95.7
Hebron HS,Denton County,96.7
Flower Mound HS,Denton County,98.0
Flower Mound HS,Denton County,99.2
Pilot Point HS,Denton County,98.3
Pilot Point HS,Denton County,98.3
Krum HS,Denton County,95.2
Krum HS,Denton County,95.7
Ponder HS,Denton County,96.3
Ponder HS,Denton County,96.3
Aubrey HS,Denton County,94.9
Aubrey HS,Denton County,94.9
Sanger HS,Denton County,97.7
Sanger HS,Denton County,98.3
Linda Tutt HS,Denton County,75.0
Linda Tutt HS,Denton County,85.7
Argyle HS,Denton County,99.1
Argyle HS,Denton County,100.0
Northwest HS,Denton County,93.4
Northwest HS,Denton County,94.1
Byron Nelson HS,Denton County,98.3
Byron Nelson HS,Denton County,98.3
James M Steele ECHS,Denton County,97.6
James M Steele ECHS,Denton County,97.6
VR Eaton HS,Denton County,94.9
VR Eaton HS,Denton County,95.5
Lake Dallas HS,Denton County,99.4
Lake Dallas HS,Denton County,99.7
Little Elm HS,Denton County,88.8
Little Elm HS,Denton County,89.3
Cuero HS,DeWitt County,98.6
Cuero HS,DeWitt County,99.3
Nordheim School,DeWitt County,85.7
Nordheim School,DeWitt County,100.0
Yoakum HS,DeWitt County,99.0
Yoakum HS,DeWitt County,99.0
Yorktown HS,DeWitt County,100.0
Yorktown HS,DeWitt County,100.0
Spur School,Dickens County,96.3
Spur School,Dickens County,96.3
Patton Springs School,Dickens County,100.0
Patton Springs School,Dickens County,100.0
Carrizo Springs HS,Dimmit County,86.9
Carrizo Springs HS,Dimmit County,89.4
Clarendon HS,Donley County,100.0
Clarendon HS,Donley County,100.0
Hedley School,Donley County,100.0
Hedley School,Donley County,100.0
Benavides Secondary,Duval County,100.0
Benavides Secondary,Duval County,100.0
San Diego HS,Duval County,84.3
San Diego HS,Duval County,88.5
Freer HS,Duval County,96.0
Freer HS,Duval County,96.0
Cisco HS,Eastland County,100.0
Cisco HS,Eastland County,100.0
Cisco Learning Center,Eastland County,100.0
Cisco Learning Center,Eastland County,100.0
Eastland HS,Eastland County,94.7
Eastland HS,Eastland County,95.9
Gorman HS,Eastland County,96.8
Gorman HS,Eastland County,96.8
Ranger HS,Eastland County,71.0
Ranger HS,Eastland County,71.0
Rising Star HS,Eastland County,100.0
Rising Star HS,Eastland County,100.0
Odessa HS,Ector County,76.9
Odessa HS,Ector County,78.7
Permian HS,Ector County,87.9
Permian HS,Ector County,88.9
Ector Co Youth Ctr,Ector County,-1
Ector Co Youth Ctr,Ector County,-1
George HW Bush New Tech Odessa,Ector County,98.9
George HW Bush New Tech Odessa,Ector County,98.9
Odessa Career and Technical ECHS,Ector County,100.0
Odessa Career and Technical ECHS,Ector County,100.0
Odessa Collegiate Academy ECHS,Ector County,98.8
Odessa Collegiate Academy ECHS,Ector County,98.8
Rocksprings K-12,Edwards County,100.0
Rocksprings K-12,Edwards County,100.0
Nueces Canyon JH/HS,Edwards County,95.2
Nueces Canyon JH/HS,Edwards County,95.2
Oak Cliff Faith Family Academy,Ellis County,93.5
Oak Cliff Faith Family Academy,Ellis County,94.2
Avalon School,Ellis County,100.0
Avalon School,Ellis County,100.0
Ennis HS,Ellis County,95.5
Ennis HS,Ellis County,95.7
Ferris HS,Ellis County,94.9
Ferris HS,Ellis County,96.9
Italy HS,Ellis County,95.7
Italy HS,Ellis County,95.7
Midlothian HS,Ellis County,95.2
Midlothian HS,Ellis County,95.6
Midlothian Heritage HS,Ellis County,95.8
Midlothian Heritage HS,Ellis County,97.7
Milford School,Ellis County,100.0
Milford School,Ellis County,100.0
Palmer HS,Ellis County,98.6
Palmer HS,Ellis County,98.6
Red Oak HS,Ellis County,93.8
Red Oak HS,Ellis County,94.0
Waxahachie HS,Ellis County,94.0
Waxahachie HS,Ellis County,94.8
Waxahachie HS of Choice,Ellis County,99.3
Waxahachie HS of Choice,Ellis County,99.3
Waxahachie Global HS,Ellis County,98.3
Waxahachie Global HS,Ellis County,99.1
Maypearl HS,Ellis County,92.1
Maypearl HS,Ellis County,94.3
Davinci School for Science,El Paso County,97.7
Davinci School for Science,El Paso County,97.7
Triumph Public HS-El Paso West,El Paso County,62.5
Triumph Public HS-El Paso West,El Paso County,93.8
Triumph Public HS-El Paso East,El Paso County,78.0
Triumph Public HS-El Paso East,El Paso County,97.0
El Paso Academy,El Paso County,65.9
El Paso Academy,El Paso County,72.4
El Paso Academy West,El Paso County,66.2
El Paso Academy West,El Paso County,74.6
Harmony Science Acad,El Paso County,100.0
Harmony Science Acad,El Paso County,100.0
Harmony School of Innovation-El,El Paso County,100.0
Harmony School of Innovation-El,El Paso County,100.0
Clint HS,El Paso County,94.5
Clint HS,El Paso County,97.2
Mountain View HS,El Paso County,95.4
Mountain View HS,El Paso County,97.6
Horizon HS,El Paso County,86.3
Horizon HS,El Paso County,91.7
Clint ISD Early College Academy,El Paso County,100.0
Clint ISD Early College Academy,El Paso County,100.0
Andress HS,El Paso County,80.1
Andress HS,El Paso County,81.6
Austin HS,El Paso County,76.7
Austin HS,El Paso County,77.6
Bowie HS,El Paso County,74.5
Bowie HS,El Paso County,76.2
Burges HS,El Paso County,88.5
Burges HS,El Paso County,89.8
Coronado HS,El Paso County,93.6
Coronado HS,El Paso County,93.7
El Paso HS,El Paso County,87.5
El Paso HS,El Paso County,89.9
Irvin HS,El Paso County,76.9
Irvin HS,El Paso County,78.5
Jefferson HS,El Paso County,68.7
Jefferson HS,El Paso County,69.1
Franklin HS,El Paso County,93.0
Franklin HS,El Paso County,93.3
Silva Health Magnet,El Paso County,99.3
Silva Health Magnet,El Paso County,99.3
Chapin HS,El Paso County,84.4
Chapin HS,El Paso County,84.8
Transmountain ECHS,El Paso County,99.0
Transmountain ECHS,El Paso County,99.0
College Career Technology Academy,El Paso County,39.0
College Career Technology Academy,El Paso County,55.7
Fabens HS,El Paso County,84.5
Fabens HS,El Paso County,87.7
San Elizario HS,El Paso County,87.3
San Elizario HS,El Paso County,89.1
Bel Air HS,El Paso County,88.9
Bel Air HS,El Paso County,89.1
Eastwood HS,El Paso County,90.7
Eastwood HS,El Paso County,92.2
Parkland HS,El Paso County,87.1
Parkland HS,El Paso County,88.7
Ysleta HS,El Paso County,94.2
Ysleta HS,El Paso County,94.7
Riverside HS,El Paso County,85.8
Riverside HS,El Paso County,85.8
JM Hanks HS,El Paso County,88.0
JM Hanks HS,El Paso County,89.5
Del Valle HS,El Paso County,93.6
Del Valle HS,El Paso County,93.9
Valle Verde ECHS,El Paso County,100.0
Valle Verde ECHS,El Paso County,100.0
Anthony HS,El Paso County,96.2
Anthony HS,El Paso County,96.2
Canutillo HS,El Paso County,91.1
Canutillo HS,El Paso County,91.1
Northwest ECHS,El Paso County,100.0
Northwest ECHS,El Paso County,100.0
Tornillo HS,El Paso County,94.4
Tornillo HS,El Paso County,94.4
Socorro HS,El Paso County,87.3
Socorro HS,El Paso County,90.3
Montwood HS,El Paso County,93.2
Montwood HS,El Paso County,94.1
Americas HS,El Paso County,89.8
Americas HS,El Paso County,91.8
El Dorado HS,El Paso County,86.4
El Dorado HS,El Paso County,88.1
Mission ECHS,El Paso County,100.0
Mission ECHS,El Paso County,100.0
Eastlake HS,El Paso County,88.3
Eastlake HS,El Paso County,90.0
Options HS,El Paso County,67.9
Options HS,El Paso County,79.7
Pebble Hills HS,El Paso County,91.8
Pebble Hills HS,El Paso County,92.3
Premier HS of Comanche/Early,Erath County,100.0
Premier HS of Comanche/Early,Erath County,100.0
Premier HS of Abilene,Erath County,62.3
Premier HS of Abilene,Erath County,62.3
Premier HS of Brownsville,Erath County,21.1
Premier HS of Brownsville,Erath County,25.8
Premier HS of Palmview,Erath County,44.1
Premier HS of Palmview,Erath County,46.9
Premier HS of Del Rio,Erath County,27.3
Premier HS of Del Rio,Erath County,30.0
Premier HS of Fort Worth,Erath County,48.4
Premier HS of Fort Worth,Erath County,50.0
Premier HS of Laredo,Erath County,60.6
Premier HS of Laredo,Erath County,63.3
Premier HS of Lubbock,Erath County,65.7
Premier HS of Lubbock,Erath County,68.9
Premier HS of Midland,Erath County,88.2
Premier HS of Midland,Erath County,90.0
Premier HS-Austin South Campus,Erath County,35.5
Premier HS-Austin South Campus,Erath County,40.7
Premier HS of Weslaco,Erath County,54.5
Premier HS of Weslaco,Erath County,59.6
Premier HS of Mission,Erath County,37.3
Premier HS of Mission,Erath County,39.3
Premier HS-San Antonio Windcrest,Erath County,42.1
Premier HS-San Antonio Windcrest,Erath County,44.4
Premier HS of Tyler,Erath County,35.0
Premier HS of Tyler,Erath County,36.8
Premier HS of Waco,Erath County,72.7
Premier HS of Waco,Erath County,90.7
Premier HS-Austin Wells Branch,Erath County,33.3
Premier HS-Austin Wells Branch,Erath County,35.5
Premier HS-El Paso Mesa,Erath County,47.9
Premier HS-El Paso Mesa,Erath County,67.6
Premier HS of San Juan,Erath County,28.3
Premier HS of San Juan,Erath County,33.3
Premier HS of Arlington,Erath County,46.0
Premier HS of Arlington,Erath County,49.2
Premier HS of Huntsville,Erath County,44.4
Premier HS of Huntsville,Erath County,50.0
Premier HS of New Braunfels,Erath County,49.0
Premier HS of New Braunfels,Erath County,48.9
Premier HS of Granbury,Erath County,90.0
Premier HS of Granbury,Erath County,89.9
Premier HS of Dayton,Erath County,86.2
Premier HS of Dayton,Erath County,89.3
Premier HS of South Irving,Erath County,80.0
Premier HS of South Irving,Erath County,80.0
Premier HS of Amarillo,Erath County,74.6
Premier HS of Amarillo,Erath County,77.8
Premier HS-El Paso Eastpointe,Erath County,41.8
Premier HS-El Paso Eastpointe,Erath County,73.3
Premier HS of Pflugerville,Erath County,57.1
Premier HS of Pflugerville,Erath County,59.3
Premier HS Online,Erath County,62.3
Premier HS Online,Erath County,63.5
Premier HS-Edinburg Career,Erath County,60.9
Premier HS-Edinburg Career,Erath County,62.3
Premier HS-Houston,Erath County,30.2
Premier HS-Houston,Erath County,36.1
Premier HS of Texarkana,Erath County,49.0
Premier HS of Texarkana,Erath County,52.1
Premier HS-San Antonio Ingram,Erath County,40.6
Premier HS-San Antonio Ingram,Erath County,41.0
Premier HS-San Angelo,Erath County,85.7
Premier HS-San Angelo,Erath County,88.9
Huston Academy,Erath County,82.4
Huston Academy,Erath County,86.7
Coastal Horizons Academy,Erath County,41.7
Coastal Horizons Academy,Erath County,40.0
Three Way ISD,Erath County,100.0
Three Way ISD,Erath County,100.0
Dublin HS,Erath County,100.0
Dublin HS,Erath County,100.0
Stephenville HS,Erath County,97.5
Stephenville HS,Erath County,97.5
Bluff Dale El,Erath County,100.0
Bluff Dale El,Erath County,100.0
Huckabay School,Erath County,100.0
Huckabay School,Erath County,100.0
Lingleville School,Erath County,100.0
Lingleville School,Erath County,100.0
Chilton School,Falls County,97.1
Chilton School,Falls County,97.1
Marlin High,Falls County,100.0
Marlin High,Falls County,100.0
Rosebud-Lott HS,Falls County,94.6
Rosebud-Lott HS,Falls County,94.5
Bonham HS,Fannin County,97.5
Bonham HS,Fannin County,97.5
Dodd City School,Fannin County,100.0
Dodd City School,Fannin County,100.0
Ector HS,Fannin County,94.4
Ector HS,Fannin County,94.4
Honey Grove HS,Fannin County,98.1
Honey Grove HS,Fannin County,98.1
Leonard HS,Fannin County,96.2
Leonard HS,Fannin County,96.2
Savoy HS,Fannin County,100.0
Savoy HS,Fannin County,100.0
Trenton HS,Fannin County,97.9
Trenton HS,Fannin County,100.0
Rayburn HS,Fannin County,95.7
Rayburn HS,Fannin County,95.7
Flatonia Secondary,Fayette County,98.1
Flatonia Secondary,Fayette County,98.1
La Grange HS,Fayette County,90.3
La Grange HS,Fayette County,92.9
Schulenburg Secondary,Fayette County,96.6
Schulenburg Secondary,Fayette County,96.6
Fayetteville Schools,Fayette County,100.0
Fayetteville Schools,Fayette County,100.0
Round Top-Carmine HS,Fayette County,100.0
Round Top-Carmine HS,Fayette County,100.0
Roby CISD,Fisher County,100.0
Roby CISD,Fisher County,100.0
Rotan K-12,Fisher County,100.0
Rotan K-12,Fisher County,100.0
Floydada Collegiate HS,Floyd County,100.0
Floydada Collegiate HS,Floyd County,100.0
Lockney HS,Floyd County,100.0
Lockney HS,Floyd County,100.0
Crowell School,Foard County,83.3
Crowell School,Foard County,83.3
Lamar Cons HS,Fort Bend County,91.1
Lamar Cons HS,Fort Bend County,91.7
BF Terry HS,Fort Bend County,90.5
BF Terry HS,Fort Bend County,91.0
Foster HS,Fort Bend County,96.5
Foster HS,Fort Bend County,96.7
George Ranch HS,Fort Bend County,97.2
George Ranch HS,Fort Bend County,97.3
Fulshear HS,Fort Bend County,95.9
Fulshear HS,Fort Bend County,95.9
Juvenile Detent Ctr,Fort Bend County,-1
Juvenile Detent Ctr,Fort Bend County,-1
Needville HS,Fort Bend County,98.1
Needville HS,Fort Bend County,98.1
Dulles HS,Fort Bend County,93.2
Dulles HS,Fort Bend County,93.8
Willowridge HS,Fort Bend County,83.0
Willowridge HS,Fort Bend County,84.8
Clements HS,Fort Bend County,96.6
Clements HS,Fort Bend County,97.8
Kempner HS,Fort Bend County,88.2
Kempner HS,Fort Bend County,89.7
Lawrence E Elkins HS,Fort Bend County,93.4
Lawrence E Elkins HS,Fort Bend County,94.6
Stephen F Austin HS,Fort Bend County,94.3
Stephen F Austin HS,Fort Bend County,94.8
Hightower HS,Fort Bend County,89.6
Hightower HS,Fort Bend County,90.5
George Bush HS,Fort Bend County,86.9
George Bush HS,Fort Bend County,89.0
Thurgood Marshall HS,Fort Bend County,86.7
Thurgood Marshall HS,Fort Bend County,88.6
William B Travis HS,Fort Bend County,96.5
William B Travis HS,Fort Bend County,96.9
Ridge Point HS,Fort Bend County,95.2
Ridge Point HS,Fort Bend County,95.3
Stafford HS,Fort Bend County,95.9
Stafford HS,Fort Bend County,95.8
Mt Vernon HS,Franklin County,95.9
Mt Vernon HS,Franklin County,96.7
Fairfield HS,Freestone County,94.9
Fairfield HS,Freestone County,96.8
Teague HS,Freestone County,98.8
Teague HS,Freestone County,98.8
Teague Lion Academy,Freestone County,92.9
